Group,Day,Tank,ZT,
Experiment,4,1,16,27.02222222
Experiment,4,2,16,27.22222222
Experiment,4,3,16,27.69444444
Experiment,5,1,16,26.61666667
Experiment,5,2,16,27.63333333
Experiment,5,3,16,27.55555556
Experiment,6,1,16,26.74444444
Experiment,6,2,16,26.91111111
Experiment,6,3,16,27.57777778
Experiment,7,1,16,26.88888889
Experiment,7,2,16,27.53888889
Experiment,7,3,16,27.62222222
Experiment,8,1,16,26.93333333
Experiment,8,2,16,26.93888889
Experiment,8,3,16,27.70555556
Experiment,9,1,16,27.22777778
Experiment,9,2,16,26.49444444
Experiment,9,3,16,27.93888889
Experiment,10,1,16,26.83888889
Experiment,10,2,16,26.84444444
Experiment,10,3,16,27.87777778
Experiment,11,1,16,26.81111111
Experiment,11,2,16,27.07777778
Experiment,1,1,17,27.35277778
Experiment,1,2,17,27.275
Experiment,1,3,17,28.05277778
Experiment,2,1,17,27.04166667
Experiment,2,2,17,27.20358423
Experiment,2,3,17,27.86666667
Experiment,3,1,17,26.81944444
Experiment,3,2,17,26.69722222
Experiment,3,3,17,27.50555556
Experiment,4,1,17,26.91666667
Experiment,4,2,17,27.13333333
Experiment,4,3,17,27.88611111
Experiment,5,1,17,26.40277778
Experiment,5,2,17,27.84444444
Experiment,5,3,17,27.51111111
Experiment,6,1,17,26.66944444
Experiment,6,2,17,26.61666667
Experiment,6,3,17,27.75277778
Experiment,7,1,17,26.50277778
Experiment,7,2,17,27.27777778
Experiment,7,3,17,27.63055556
Experiment,8,1,17,26.99166667
Experiment,8,2,17,27.10277778
Experiment,8,3,17,27.53888889
Experiment,9,1,17,26.86111111
Experiment,9,2,17,26.47222222
Experiment,9,3,17,28.05833333
Experiment,10,1,17,27.04444444
Experiment,10,2,17,26.92777778
Experiment,10,3,17,27.53333333
Experiment,11,1,17,26.98611111
Experiment,11,2,17,27.03888889
Experiment,1,1,18,27.60277778
Experiment,1,2,18,27.29166667
Experiment,1,3,18,28.11388889
Experiment,2,1,18,26.975
Experiment,2,2,18,27.21209677
Experiment,2,3,18,28.02777778
Experiment,3,1,18,26.7
Experiment,3,2,18,26.76666667
Experiment,3,3,18,27.50277778
Experiment,4,1,18,26.57777778
Experiment,4,2,18,27.31944444
Experiment,4,3,18,27.95277778
Experiment,5,1,18,26.37222222
Experiment,5,2,18,28.11388889
Experiment,5,3,18,27.55277778
Experiment,6,1,18,26.62222222
Experiment,6,2,18,26.50277778
Experiment,6,3,18,27.77222222
Experiment,7,1,18,26.66111111
Experiment,7,2,18,27.25
Experiment,7,3,18,27.66111111
Experiment,8,1,18,27.26944444
Experiment,8,2,18,27.23888889
Experiment,8,3,18,27.525
Experiment,9,1,18,26.75833333
Experiment,9,2,18,26.60833333
Experiment,9,3,18,27.97222222
Experiment,10,1,18,27.09166667
Experiment,10,2,18,26.83055556
Experiment,10,3,18,27.56666667
Experiment,11,1,18,26.5
Experiment,11,2,18,26.875
Experiment,1,1,19,27.35833333
Experiment,1,2,19,27.53055556
Experiment,1,3,19,28.29444444
Experiment,2,1,19,26.92777778
Experiment,2,2,19,27.28508705
Experiment,2,3,19,27.875
Experiment,3,1,19,26.57936508
Experiment,3,2,19,26.88333333
Experiment,3,3,19,27.55833333
Experiment,4,1,19,26.43888889
Experiment,4,2,19,27.07222222
